task,target_column,model_group,model_name,feature_name,mean_importance,std_importance,signed_mean_importance,n_folds
classification_top_tercile,top_tercile_next_month,Model A - price only,Random Forest,realized_vol_63d,0.0977258368817501,0.012535701535765085,0.0977258368817501,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Random Forest,return_6m,0.09269274857945635,0.015184312527957584,0.09269274857945635,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Random Forest,volume_change_3m,0.08488847582846246,0.011006422678030568,0.08488847582846246,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Random Forest,return_1m,0.08438290436058775,0.01016309857614264,0.08438290436058775,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Random Forest,return_3m,0.08430746060888308,0.015972418364777103,0.08430746060888308,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Random Forest,max_drawdown_6m,0.08159876678651654,0.012047940520275935,0.08159876678651654,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Random Forest,momentum_12m_minus_1m,0.07959529085359913,0.009187575837454326,0.07959529085359913,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Random Forest,return_12m,0.07954221205047635,0.007022554956339475,0.07954221205047635,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Random Forest,price_above_200d_ma,0.004567573258489988,0.0012757363649858896,0.004567573258489988,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Ridge classifier,realized_vol_126d,0.11487522300366527,0.08061668135865892,0.08869075069327514,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Ridge classifier,max_drawdown_6m,0.08472588415814351,0.053554392015542955,0.039359032508039946,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Ridge classifier,realized_vol_21d,0.0822658338282081,0.05306637545361975,0.01176435945064631,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Ridge classifier,realized_vol_63d,0.06766718405838605,0.05890784948199738,0.055519715424703533,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Ridge classifier,volume_change_3m,0.056749199519477156,0.03347064988320452,-0.03308996746544853,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Ridge classifier,dollar_volume,0.04877165819058161,0.02657626518220479,0.04735206784475253,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Ridge classifier,return_12m,0.044334231895522706,0.09401784277239475,-0.02680236575642481,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Ridge classifier,momentum_12m_minus_1m,0.04427318702842405,0.08785008588873233,0.03333292520404315,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Ridge classifier,return_6m,0.04198207765796097,0.038915683639496955,0.021939538896227545,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Ridge classifier,return_3m,0.041101310543413,0.03791159453995364,0.026143834460969247,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Ridge classifier,return_1m,0.03954479728747004,0.03156873113121704,-0.026090770102771353,162
classification_top_tercile,top_tercile_next_month,Model A - price only,Ridge classifier,price_above_200d_ma,0.03266417405524775,0.024632001706569054,0.007445922477744035,162
classification_top_tercile,top_tercile_next_month,Model A - price only,XGBoost,realized_vol_126d,0.09815095645594007,0.02040510686548984,0.09815095645594007,162
